title,month,year,social,aspect,opinion,review,country,polarity
Unhelpful Information,Oct,2019,twitter,Data availability,The information was unhelpful.,The information boards were not accurate or helpful. It was difficult to find the right platform or get information about delays.,Cyprus,negative
Lack of Seating,Jun,2022,google review,Maintenance,There was a lack of seating.,"There wasn't enough seating available, especially during peak hours. It was uncomfortable to stand for a long time.",Latvia,negative
Poor Security,Feb,2018,facebook,Safety,The station felt unsafe.,"I felt unsafe at the station, as there were no security guards around and a lot of people sleeping on the platform.",Lithuania,negative
Limited Amenities,Sep,2016,instagram,Maintenance,The amenities were limited.,"There were very limited amenities available, such as restrooms and food options. It was not a comfortable experience.",Estonia,negative
Disorganized Station,Mar,2014,google review,Data availability,The station was disorganized.,"The station was very disorganized, with no clear directions or signs. It was difficult to find my way around.",Luxembourg,negative
Poor Customer Service,May,2023,twitter,Satisfactions,The customer service was poor.,The staff were rude and unhelpful. They didn't seem to care about the passengers or their needs.,Malta,negative
Uncomfortable Train,Jan,2015,google review,Reliability equipment,The train was uncomfortable.,"The train was very uncomfortable, with hard seats and no legroom. It was a long and unpleasant journey.",Iceland,negative
Unreliable Train Schedule,Aug,2020,facebook,Punctuality,The train schedule was unreliable.,"The train schedule was not reliable, with frequent delays and cancellations. It was difficult to plan my trip.",Greece,negative
Dirty Platforms,Oct,2019,instagram,Cleanliness,The platforms were dirty.,The platforms were dirty and littered with trash. It was not a pleasant place to wait for the train.,Turkey,negative
Limited Accessibility,Jun,2022,google review,Maintenance,The station was inaccessible.,The station was not accessible for people with disabilities. It was difficult to navigate with a wheelchair.,Egypt,negative
Poor Train Conditions,Feb,2018,twitter,Reliability equipment,The train was in poor condition.,"The trains were old and in poor condition, with broken seats and dirty windows. It was not a comfortable journey.",Israel,negative
Inconvenience,Sep,2016,google review,Data availability,The station was inconvenient.,"The station was inconvenient to reach, and there were limited transportation options available. It was a hassle to get there.",Morocco,negative
Lack of Staff,Mar,2014,facebook,Satisfactions,There was a lack of staff.,There weren't enough staff members to help with questions or issues. I had to wait for a long time to get assistance.,Algeria,negative
Unpleasant Smell,May,2023,twitter,Cleanliness,The station had an unpleasant smell.,"There was a strong unpleasant smell coming from the station, possibly from the restrooms or the trash.",Tunisia,negative
Broken Vending Machines,Jan,2015,google review,Reliability equipment,The vending machines were broken.,"The vending machines were broken or out of stock, and there were no other options for snacks or drinks. It was inconvenient.",South Africa,negative
Unfriendly Staff,Aug,2020,facebook,Satisfactions,The staff was unfriendly.,The staff were not friendly or helpful. They didn't seem to care about the passengers or their needs.,Nigeria,negative
Overcrowded Station,Oct,2019,instagram,Cleanliness,The station was overcrowded.,"The station was overcrowded, especially during rush hour. It was difficult to navigate and uncomfortable to be surrounded by so many people.",Kenya,negative
Inaccessible Facilities,Jun,2022,google review,Maintenance,The station was not accessible.,The station was not accessible for people with disabilities. It was difficult to get around with a wheelchair or stroller.,Tanzania,negative
Dirty Train,Feb,2018,twitter,Reliability equipment,The train was dirty.,The train was dirty and had a strong odor. It was not a pleasant journey.,Uganda,negative
Unreliable Information,Sep,2016,google review,Data availability,The information was unreliable.,The information boards were not accurate or reliable. It was difficult to get accurate information about train schedules or delays.,Ghana,negative
Lack of Comfort,Mar,2014,facebook,Maintenance,The station lacked comfort.,"The station lacked comfort, with uncomfortable seats and limited amenities. It was not a relaxing experience.",Cameroon,negative
Poor Customer Service,May,2023,twitter,Satisfactions,The customer service was poor.,The staff were rude and unhelpful. They didn't seem to care about the passengers or their needs.,Senegal,negative
Dirty Restrooms,Jan,2015,google review,Cleanliness,The restrooms were dirty.,"The restrooms were dirty and unhygienic. They didn't have any soap or toilet paper, and there was a foul odor.",Egypt,negative
Limited Luggage Storage,Aug,2020,facebook,Maintenance,The luggage storage was limited.,"There were very limited luggage storage options available, and they were very expensive. I had to carry my heavy luggage around.",South Africa,negative
Overpriced Food,Oct,2019,instagram,Price,The food was overpriced.,The food and drinks available at the station were overpriced. I could have gotten a better deal elsewhere.,Nigeria,negative
Unpleasant Atmosphere,Jun,2022,google review,Safety,The atmosphere was unpleasant.,"The station had a very unpleasant atmosphere, with lots of people smoking and loitering. It wasn't a safe or comfortable place.",Kenya,negative
Long Delays,Feb,2018,twitter,Punctuality,The train was delayed.,"My train was delayed by over 30 minutes, and there was no announcement or explanation. It was very frustrating.",Tanzania,negative
Unreliable Equipment,Sep,2016,google review,Reliability equipment,The escalator was broken.,"The escalator broke down, and we had to walk up the stairs. It was a bit of a hassle, especially for elderly people.",Uganda,negative
Safety Concerns,Mar,2014,facebook,Safety,The station felt unsafe.,"I saw a group of people fighting on the platform, and it made me feel unsafe. There were no security guards around.",Ghana,negative
Limited Seating,May,2023,twitter,Maintenance,There was limited seating.,There wasn't enough seating available for all the passengers. I had to stand for a long time while waiting for my train.,Cameroon,negative
Confusing Ticket Machines,Jan,2015,google review,User-friendly payment system,The ticket machines were confusing.,"The ticket machines were difficult to use, and I couldn't figure out how to buy a ticket for my destination. I had to ask for help.",Senegal,negative
Poor Communication,Aug,2020,facebook,Data availability,There was poor communication.,"There were no announcements in English, and the staff didn't speak much English either. It was difficult to get information.",Egypt,negative
Dirty Train,Oct,2019,instagram,Reliability equipment,The train was dirty.,The train was dirty and had a strong odor. It was not a pleasant journey.,South Africa,negative
Unorganized Ticketing,Jun,2022,google review,User-friendly payment system,The ticketing system was unorganized.,The ticketing system was confusing and disorganized. It was difficult to find the right ticket for my journey.,Nigeria,negative
